Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Calvin Austin III,PIT,WR111,4.5,36.3,0.1,25.4,294.8,1.6,0.2,43.4
Michael Mayer,LV,TE39,0,0,0,29,313,2,0.1,43.1
Colby Parkinson,LAR,TE40,0,0,0,27.8,293.6,2.3,0.1,42.8
Emanuel Wilson,GB,RB71,51.1,222.5,1.5,11.1,80.3,0.6,0.1,42.8
Cedric Tillman,CLE,WR112,0,1.7,0,24.2,308,2,0.2,42.4
Jauan Jennings,SF,WR113,0,3.3,0,24.8,303,2,0.1,42.4
Keaton Mitchell,BAL,RB72,52.5,255,1.6,8.6,69.4,0.2,0.7,42.1
Nelson Agholor,BAL,WR114,0,2,0,23.3,291.8,2.1,0.1,41.9
Kimani Vidal,LAC,RB73,47,231.9,1.6,10.8,76.5,0.3,0.1,41.8
Tommy Tremble,CAR,TE41,0,0,0,27.5,261.6,2.5,0.1,40.8
Chris Rodriguez Jr.,WAS,RB74,0,235,2,7,51,0,0,40.6
Dalvin Cook,DAL,RB75,49.3,229.5,1.6,8.5,60.8,0.3,0,40.3
Daniel Bellinger,NYG,TE42,0,0,0,31.4,297.5,1.8,0.1,40.3
K.J. Osborn,NE,WR115,0,2,0,24.8,299.7,1.7,0.1,40
Trey Sermon,IND,RB76,52.8,254.5,1.4,7.9,54.5,0.2,0.1,39.8
Devontez Walker,BAL,WR116,0,3.5,0,22.3,273.2,2,0,39.8
Eric Gray,NYG,RB77,39.5,206.5,1.4,10.8,73.4,0.5,0.1,39.6
Isaac Guerendo,SF,RB78,39.2,226.5,1.9,6.5,52.9,0.1,0.1,39.6
Ty Johnson,BUF,RB79,39.7,165.3,1.1,13.1,111.2,0.7,0.2,37.9
KhaDarel Hodge,ATL,WR117,0,0,0,20.6,272,1.7,0.3,36.9
Olamide Zaccheaus,WAS,WR118,0,5,0,22.1,270.4,1.6,0.1,36.8
Javon Baker,NE,WR119,0,7.3,0,22.4,269,1.4,0,36.2
Allen Lazard,NYJ,WR120,0,0.7,0,19.4,249.9,1.8,0.1,35.7
Xavier Gipson,NYJ,WR121,4.6,32.6,0.2,19.4,221.3,1.6,0.1,35.6
Noah Gray,KC,TE43,0,0,0,22.6,237.5,1.7,0.1,34.1
Will Shipley,PHI,RB80,33.9,180,1.5,6.3,47.7,0.4,0.1,34
Will Dissly,LAC,TE44,0,0,0,24.8,238.8,1.6,0.1,33.2
Cam Akers,HOU,RB81,41.3,192.5,1.4,5.7,43.6,0.2,0.1,33
John Metchie III,HOU,WR122,0,5.3,0,19.2,232.7,1.5,0.1,32.7
Trenton Irwin,CIN,WR123,0,1.5,0,18.2,230.5,1.5,0.1,32.3
JuJu Smith-Schuster,KC,WR124,0.3,1,0,21.4,226.1,1.6,0,32.2
Cordarrelle Patterson,PIT,RB82,36,155.5,1.1,10.4,79.1,0.4,0.1,32
Pierre Strong Jr.,CLE,RB83,51.1,226.6,1.2,5.5,42.3,0.1,1.4,31.9
Parker Washington,JAC,WR125,0,4,0,20.4,217.2,1.6,0,31.7
Emari Demercado,ARI,RB84,34.2,149.1,1.1,13.4,88.4,0.4,0.4,31.7
Tutu Atwell,LAR,WR126,2.2,14.1,0.1,17.4,229.7,1.2,0.1,31.7
Mo Alie-Cox,IND,TE45,0,0,0,17.3,193.9,2,0,31.6
Evan Hull,IND,RB85,0,134,1,8,59,1,0,31.3
Deuce Vaughn,DAL,RB86,40,148,1.2,9.1,68.5,0.2,0.4,29.3
Isaiah Davis,NYJ,RB87,45.7,168.4,1.3,5.6,41,0.1,0.1,29.1
Brevin Jordan,HOU,TE46,0,0,0,14.6,183.6,1.7,0,28.6
Dylan Laube,LV,RB88,27,145.3,1.1,7.7,57.2,0.1,0,27.4
Josh Oliver,MIN,TE47,0,0,0,19.7,190.6,1.4,0.4,26.9
Durham Smythe,MIA,TE48,0,0,0,19.6,191.4,1.3,0,26.8
Tyquan Thornton,NE,WR127,1.2,8,0,16,198.7,1,0.1,26.6
Mack Hollins,BUF,WR128,0,0,0,14.4,185.4,1.3,0,26.3
Jaheim Bell,NE,TE49,0,0,0,16.5,172.5,1.5,0,26.3
Adam Trautman,DEN,TE50,0,0,0,17.3,168.4,1.5,0,26
Brock Wright,DET,TE51,0,0,0,17.1,163.2,1.6,0.1,26
D.J. Montgomery,IND,WR129,0,6,0,16,192,1,0,25.8
Tyler Goodson,IND,RB89,25.1,130.9,0.9,7.5,54.4,0.4,0.1,25.7
Jase McClellan,ATL,RB90,31.2,129.1,1,5.4,43.7,0.4,0,25.5
Justin Watson,KC,WR130,0,0,0,12.7,179.1,1.3,0.1,25.4
Tanner Hudson,CIN,TE52,0,0,0,17.8,171.4,1.4,0,25.3
Rasheen Ali,BAL,RB91,26.4,149.1,1.2,3.9,31,0.1,0,25.3
Jake Bobo,SEA,WR131,0,1.3,0,15,173.7,1.3,0.1,25
Isaiah Hodgins,NYG,WR132,0,4,0,14,183,1,0,24.7
David Bell,CLE,WR133,0,1,0,15.2,157.5,1.5,0,24.7
Rakim Jarrett,TB,WR134,0,10,0,14,175,1,0,24.5
Donovan Peoples-Jones,DET,WR135,0,4,0,13,181,1,0,24.5
Michael Carter,ARI,RB92,0,111,1,10,69,0,0,24
Austin Hooper,NE,TE53,0,0,0,19.4,184.2,0.9,0,23.9
Kyle Juszczyk,SF,RB93,5.6,20.2,0.1,15,143.8,1.1,0,23.8
Jeremy Ruckert,NYJ,TE54,0,0,0,16.7,165.9,1.2,0.1,23.8
Donald Parham Jr.,DEN,TE55,0,0,0,14.4,150.6,1.4,0,23.7
Elijah Higgins,ARI,TE56,0,0,0,16.3,177.6,1,0,23.6
Johnny Mundt,MIN,TE57,0,0,0,18.4,174.1,1,0.1,23.5
Kevin Harris,NE,RB94,4.5,134.1,1.1,5,36.6,0,0,23.4
Malik Washington,MIA,WR136,2.1,13.3,0.1,12.6,157,1,0,23
Isaiah Williams,DET,WR137,0,0,0,13.6,161.8,1.1,0.1,22.5
Trent Sherfield Sr.,MIN,WR138,0,2,0,13.9,165.6,1,0,22.5
Marquez Valdes-Scantling,BUF,WR139,0,1,0,9.9,155,1.2,0,22.4
Bub Means,NO,WR140,0,0,0,13.2,160.2,1.1,0,22.3
JaMycal Hasty,NE,RB95,24,105.1,0.8,9.6,64.4,0.1,0.1,22.2
Parris Campbell,PHI,WR141,0,5,0,14,152,1,0,21.7
Robert Tonyan,MIN,TE58,0,0,0,15,153,1,0,21.3
Brandon Powell,MIN,WR142,1.9,14.6,0,14.7,143.4,0.9,0.1,21.1
Jawhar Jordan,HOU,RB96,0,121,1,4,27,0,0,20.8
Ainias Smith,PHI,WR143,0,6,0,11,141,1,0,20.7
Jamari Thrash,CLE,WR144,0,6,0,11,141,1,0,20.7
Darnell Washington,PIT,TE59,0,0,0,15.5,151.7,0.9,0,20.6
Ryan Flournoy,DAL,WR145,0,0,0,12,141.1,1.1,0,20.5
Deneric Prince,MIA,RB97,0,113,1,4,29,0,0,20.2
Ameer Abdullah,LV,RB98,26.8,102.5,0.2,10.7,78.4,0.1,0,20.1
Ronnie Rivers,LAR,RB99,29.7,116.7,0.8,4.6,33.3,0.1,0,20.1
Luke Schoonmaker,DAL,TE60,0,0,0,12.4,123.9,1.3,0,20
Jacob Cowing,SF,WR146,0,6,0,11,134,1,0,20
Trayveon Williams,CIN,RB100,41.6,111.4,0.7,6.1,39.8,0.1,0.1,19.8
Braxton Berrios,MIA,WR147,0,2.7,0,14.4,140.6,0.9,0.1,19.8
Johnny Wilson,PHI,WR148,0,2.5,0,11.8,140,0.9,0,19.3
Carson Steele,KC,RB101,14.8,101.3,0.9,4.6,35.2,0.1,0,19.3
Nick Westbrook-Ikhine,TEN,WR149,0,1.3,0,10.6,143.3,0.8,0,19.2
Marcus Rosemy-Jacksaint,PHI,WR150,0,6,0,10,126,1,0,19.2
Josh Whyle,TEN,TE61,0,0,0,12.5,127.7,1.1,0,19.2
Devaughn Vele,DEN,WR151,0,0,0,11.8,139.1,0.9,0,19.1
Tahj Washington,MIA,WR152,0,0,0,11,131,1,0,19.1
Brandon Johnson,PIT,WR153,0,7,0,10,124,1,0,19.1
Nikko Remigio,KC,WR154,0,0,0,10,130,1,0,19
KJ Hamler,BUF,WR155,0,5,0,9,125,1,0,19
Quez Watkins,PIT,WR156,0,3,0,9,127,1,0,19
D'Ernest Johnson,JAC,RB102,31.8,113.9,0.5,5.5,39.2,0.1,0.1,19
Davis Allen,LAR,TE62,0,0,0,12.6,129.2,1,0,18.7
Craig Reynolds,DET,RB103,21.6,102.6,0.8,4.1,33.3,0.1,0.1,18.7
Foster Moreau,NO,TE63,0,0,0,11.6,128.6,1,0,18.6
Jordan Akins,CLE,TE64,0,0,0,12.5,124.7,1,0.1,18.5
Devin Culp,TB,TE65,0,0,0,12,124,1,0,18.4
Michael Woods II,CLE,WR157,0,4,0,9,119,1,0,18.3
Tanner McLachlan,CIN,TE66,0,0,0,12,122.5,1,0,18.3
Tejhaun Palmer,ARI,WR158,0,0,0,11,122,1,0,18.2
Jordan Whittington,LAR,WR159,0,0,0,10.8,129.6,0.9,0,18.2
Pharaoh Brown,SEA,TE67,0,0,0,11.5,126.4,0.9,0,18
Will Mallory,IND,TE68,0,0,0,12.1,126.9,0.9,0,17.9
Isaiah McKenzie,NYG,WR160,0,10,0,11,107,1,0,17.7
Allen Robinson II,DET,WR161,0,4,0,11,113,1,0,17.7
Ben Skowronek,PIT,WR162,0,4,0,9,111,1,0,17.5
Jeremy McNichols,WAS,RB104,18.4,72.5,0.2,9.2,69.5,0.4,0,17.3
AJ Barner,SEA,TE69,0,0,0,11.6,118.3,0.9,0,17.1
Stone Smartt,LAC,TE70,0,0,0,10.6,117.9,0.9,0,17.1
Tyler Scott,CHI,WR163,2.1,18.2,0.1,8.9,101.7,0.8,0,17.1
Connor Heyward,PIT,TE71,0,0,0,14.6,130.5,0.7,0,17.1
Jared Wiley,KC,TE72,0,0,0,11,112.6,0.9,0,16.8
Drew Ogletree,IND,TE73,0,0,0,9.5,114.3,0.8,0,16.4
Kenny McIntosh,SEA,RB105,26.9,89.4,0.6,4.1,32.2,0.1,0.1,16.4
Ian Thomas,CAR,TE74,0,0,0,12.7,129.5,0.6,0,16.3
Justyn Ross,KC,WR164,0,0,0,8,103,1,0,16.3
Travis Vokolek,ARI,TE75,0,0,0,11,102,1,0,16.2
Jamison Crowder,WAS,WR165,0,0,0,12,118.4,0.7,0,16.1
Blake Watson,DEN,RB106,14.6,84.1,0.7,4,28.6,0.1,0,15.9
Derius Davis,LAC,WR166,6.7,38.6,0.1,7,81.2,0.6,0.1,15.8
Equanimeous St. Brown,NO,WR167,0,4,0,7,91,1,0,15.5
Jack Stoll,PHI,TE76,0,0,0,9,95,1,0,15.5
Casey Washington,ATL,WR168,0,0,0,8.7,105.8,0.8,0,15.5
Jalen Brooks,DAL,WR169,0,0,0,11.5,106.9,0.8,0,15.4
Brenton Strange,JAC,TE77,0,0,0,9.7,92.1,1,0,15.2
Cade Stover,HOU,TE78,0,0,0,10,105.8,0.8,0,15.2
Erick All Jr.,CIN,TE79,0,0,0,10.3,103,0.8,0,15
Skyy Moore,KC,WR170,0,3,0,8.6,100.4,0.8,0.1,14.9
Hunter Luepke,DAL,RB107,7.4,26.2,1.4,4,27.1,0.2,0,14.9
Cameron Latu,CLE,TE80,0,0,0,13,88,1,0,14.8
David Moore,CAR,WR171,0,1.7,0,8.1,108,0.7,0.1,14.8
Jeff Wilson Jr.,MIA,RB108,15,80.2,0.6,3.2,23.6,0.1,0,14.7
Tip Reiman,ARI,TE81,0,0,0,10.2,99.1,0.8,0,14.7
Lucas Krull,DEN,TE82,0,0,0,9.6,103.5,0.7,0,14.7
Sean Tucker,TB,RB109,25.5,80.6,0.6,2.8,21.4,0.1,0.1,14.2
Albert Okwuegbunam Jr.,PHI,TE83,0,0,0,8,82,1,0,14.2
Dallin Holker,NO,TE84,0,0,0,9.3,95.4,0.8,0,14.1
Dare Ogunbowale,HOU,RB110,16.7,56.9,0.4,7.3,54.7,0.1,0,14
Payne Durham,TB,TE85,0,0,0,9.2,96.8,0.7,0,14
Drew Sample,CIN,TE86,0,0,0,10.5,94.3,0.8,0,14
Julius Chestnut,TEN,RB111,20.7,74,0.5,3.9,31.4,0.1,0.1,13.8
Devin Duvernay,JAC,WR172,3.3,16.9,0.1,8.8,88.6,0.4,0.1,13.5
Jalen Reagor,NE,WR173,0,2,0,7,90.3,0.7,0,13.2
Robert Woods,HOU,WR174,0,1.3,0,8.3,89.4,0.6,0,12.8
Brenden Rice,LAC,WR175,0,2,0,7.2,87.9,0.6,0,12.7
Chris Moore,ARI,WR176,0,3.3,0,7.7,92.6,0.5,0,12.7
MyCole Pruitt,PIT,TE87,0,0,0,6.5,67.1,1,0,12.7
Grant Calcaterra,PHI,TE88,0,0,0,8.5,85.8,0.7,0,12.6
Luke Farrell,JAC,TE89,0,0,0,8.7,87.9,0.7,0,12.6
Jordan Mims,NO,RB112,14.6,60.8,0.6,3.5,25.3,0.1,0,12.5
Zach Pascal,ARI,WR177,0,2,0,6.8,83.5,0.7,0,12.5
Mason Tipton,NO,WR178,0,0,0,7.7,86.1,0.6,0,12.4
Ross Dwelley,ATL,TE90,0,0,0,6,83.6,0.7,0,12.3
Kayshon Boutte,NE,WR179,0,2.5,0,6.9,86.2,0.6,0,12.3
Cody Schrader,LAR,RB113,31,77,0.5,2,14,0,0,12.1
Robbie Chosen,MIA,WR180,0,2,0,6.6,79,0.7,0,12
Mecole Hardman Jr.,KC,WR181,2.1,15.4,0.1,5.2,65.5,0.6,0,12
Carlos Washington Jr.,ATL,RB114,0,37,1,4,22,0,0,11.9
Xavier Hutchinson,HOU,WR182,0,7,0,6.4,76.6,0.6,0,11.9
Anthony Gould,IND,WR183,0,0,0,6.8,80.8,0.6,0,11.8
Quintin Morris,BUF,TE91,0,0,0,6.2,65.3,0.9,0,11.8
Deonte Harty,BAL,WR184,0,5,0,6.3,77.2,0.6,0,11.8
Jalen Guyton,LV,WR185,0,2,0,6,79.9,0.6,0,11.7
Charlie Jones,CIN,WR186,0,1.7,0,6.8,83.2,0.5,0,11.7
Peyton Hendershot,KC,TE92,0,0,0,7.8,77.6,0.7,0,11.6
Ashton Dulin,IND,WR187,0,2,0,6.5,75.1,0.7,0,11.6
Ronnie Bell,SF,WR188,0,2,0,6.5,78,0.6,0,11.6
Harrison Bryant,LV,TE93,0,0,0,7.8,73.9,0.7,0,11.6
Jason Brownlee,NYJ,WR189,0,1.5,0,6.3,78.6,0.6,0,11.5
Brenden Bates,NYJ,TE94,0,0,0,7.4,71,0.7,0,11
Laviska Shenault Jr.,SEA,WR190,5.3,36.6,0.1,5.2,54.9,0.2,0.1,11
Boston Scott,PIT,RB115,2.6,54.8,0.5,2.4,17.5,0.1,0,10.7
Chris Conley,SF,WR191,0,2,0,5.4,67.2,0.6,0,10.5
Hunter Long,LAR,TE95,0,0,0,6.3,64.7,0.7,0,10.4
Bo Melton,GB,WR192,1,6.3,0,5.9,68.6,0.5,0.1,10.4
Israel Abanikanda,NYJ,RB116,14.9,57.4,0.3,2.7,19,0.1,0.1,10.1
John Bates,WAS,TE96,0,0,0,8.1,76.3,0.4,0,10
Marcedes Lewis,CHI,TE97,0,0,0,6.9,59.2,0.7,0,9.9
Ben Sims,GB,TE98,0,0,0,5.6,49.6,0.8,0,9.9
Bryce Ford-Wheaton,NYG,WR193,0,0,0,7.1,74.8,0.4,0,9.6
River Cracraft,MIA,WR194,0,0,0,9.3,78.9,0.3,0,9.5
Tim Jones,JAC,WR195,0,2,0,4.9,57,0.6,0,9.4
Sione Vaki,DET,RB117,12.6,60,0.2,2.5,18.7,0,0,9.3
Avery Williams,ATL,RB118,7.6,35,0.4,3.9,23.1,0.1,0,9.1
Charlie Kolar,BAL,TE99,0,0,0,5.8,63.5,0.4,0,8.8
Malik Heath,GB,WR196,0,1,0,4.9,56.7,0.5,0,8.8
Scotty Miller,PIT,WR197,0,1.3,0,5.6,69.6,0.3,0,8.6
Raheem Blackshear,CAR,RB119,7.2,38.6,0.2,4.7,34.6,0,0,8.5
Ko Kieft,TB,TE100,0,0,0,4.8,46.1,0.6,0,8.4
Brady Russell,SEA,TE101,0,0,0,5,48.5,0.6,0,8.4
Nate Adkins,DEN,TE102,0,0,0,5.4,47.6,0.6,0,8.2
Dareke Young,SEA,WR198,0,0,0,5.1,59.7,0.4,0,8.1
Julian Hill,MIA,TE103,0,0,0,6.8,63.9,0.6,1,8
Malik Davis,DAL,RB120,0,55,0,3,23,0,0,7.8
Alec Ingold,MIA,RB121,1.1,4.4,0,7.6,55.5,0.3,0.1,7.8
Eric Saubert,SF,TE104,0,0,0,6.9,57.2,0.3,0,7.4
Tre'Quan Smith,DET,WR199,0,0,0,11,74,0,0,7.4
Charlie Woerner,ATL,TE105,0,0,0,7.3,58.3,0.3,0,7.3
Britain Covey,PHI,WR200,0,0,0,5.2,57.3,0.3,0,7.2
Hassan Haskins,LAC,RB122,9.5,42.1,0.1,2.7,17.4,0.1,0,7.1
Terrace Marshall Jr.,SF,WR201,0,4,0,5,64,0,0,6.8
Emani Bailey,KC,RB123,0,47,0,2,18,0,0,6.5
Dee Eskridge,MIA,WR202,0,6,0,4,56,0,0,6.2
Anthony Firkser,NYJ,TE106,0,0,0,4.4,41.4,0.3,0,6
Travis Homer,CHI,RB124,2.3,32.3,0,3.1,22.1,0.1,0,6
Gunner Olszewski,NYG,WR203,0,0,0,4.2,44.5,0.2,0,5.6
Patrick Taylor Jr.,SF,RB125,7.9,28,0.2,1.9,13.5,0.1,0,5.6
DeeJay Dallas,ARI,RB126,2.5,28,0,3.5,24,0,0,5.2
Parker Hesse,DET,TE107,0,0,0,3.7,36.8,0.3,0,5.2
Josiah Deguara,JAC,TE108,0,0,0,5,51,0,0,5.1
Nyheim Hines,CLE,RB127,1.3,17.1,0,4.5,32.3,0,0,5.1
Nick Muse,MIN,TE109,0,0,0,3.7,35.8,0.3,0,5
Chris Manhertz,NYG,TE110,0,0,0,5.4,46.8,0.1,0,5
Reggie Gilliam,BUF,RB128,0,0,0,4.4,33.2,0.3,0,4.9
DJ Turner,LV,WR204,0,0,0,3.3,37.4,0.2,0.1,4.9
Tylan Wallace,BAL,WR205,0,2,0,3.2,41.3,0.1,0,4.8
Keilan Robinson,JAC,RB129,0,33,0,2,15,0,0,4.8
Patrick Ricard,BAL,RB130,2.7,10.9,0,3.7,26.2,0.2,0,4.8
Adam Prentice,NO,RB131,3.3,14,0.1,3.3,23,0.1,0,4.8
Michael Burton,DEN,RB132,2.4,9.4,0,3.7,24.5,0.2,0,4.5
Velus Jones Jr.,CHI,WR206,2.3,9.7,0.1,1.9,25.1,0.1,0,4.4
Irvin Charles,NYJ,WR207,0,0,0,2.6,29.7,0.2,0,4.3
Kenny Yeboah,NYJ,TE111,0,0,0,3,28.6,0.2,0,4.2
Jha'Quan Jackson,TEN,WR208,0,0,0,4,41,0,0,4.1
Keaontay Ingram,KC,RB133,0,30,0,2,10,0,0,4
Tyler Johnson,LAR,WR209,0,0,0,2.1,25.1,0.2,0,3.8
Myles Gaskin,MIN,RB134,0,26,0,2,11,0,0,3.7
C.J. Ham,MIN,RB135,2,8.3,0,3.3,22.4,0.1,0,3.7
La'Mical Perine,GB,RB136,0,25,0,2,11,0,0,3.6
Teagan Quitoriano,HOU,TE112,0,0,0,2,22.4,0.2,0,3.3
Montrell Washington,KC,WR210,0,0,0,1.7,21.1,0.2,0,3.1
Simi Fehoko,LAC,WR211,0,0,0,1.7,20.2,0.2,0,3
Cody White,SEA,WR212,0,0,0,1.7,19.5,0.2,0,3
Stephen Carlson,CHI,TE113,0,0,0,2,19.4,0.2,0,3
Tommy Hudson,NO,TE114,0,0,0,2,19.3,0.2,0,2.9
Trishton Jackson,MIN,WR213,0,0,0,1.7,18.8,0.2,0,2.9
Kristian Wilkerson,LV,WR214,0,0,0,1.5,17.5,0.2,0,2.8
Jake Tonges,SF,TE115,0,0,0,1.8,17.4,0.2,0,2.8
DeAndre Carter,CHI,WR215,0,6,0,2,21,0,0,2.7
Mitchell Wilcox,NE,TE116,0,0,0,3.4,24.4,0,0,2.7
David Sills V,DEN,WR216,0,0,0,1.5,16.9,0.1,0,2.5
Byron Pringle,WAS,WR217,0,1,0,1.9,18.9,0.1,0,2.5
Tyrion Davis-Price,PHI,RB137,0,17,0,1,3,0,0,2
