,,,,,,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Snap Counts,Snap Counts,,Snap Counts,Snap Counts,Snap Counts,,PAT,PAT,,FG,FG,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,-additional
62,David Njoku,88.8,0,0,1,0,0,Sun,1,1,2022-09-11,26-063,CLE,@,CAR,W 26-24,0,0,,0,,,1,1,7,7.0,0,100.0,7.0,,0.0,71,88.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,NjokDa00
63,Noah Brown,88.4,0,0,9,0,0,Sun,1,1,2022-09-11,26-248,DAL,,TAM,L 3-19,0,0,,0,0,,9,5,68,13.6,0,55.6,7.6,4,44.4,61,88.4,0,0.0,5,20.8,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,BrowNo00
64,Amon-Ra St. Brown,88.4,0,0,12,0,0,Sun,1,1,2022-09-11,22-322,DET,,PHI,L 35-38,0,0,,0,0,,12,8,64,8.0,1,66.7,5.3,3,50.0,61,88.4,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,StxxAm00
65,Jahan Dotson,88.3,0,1,5,0,0,Sun,1,1,2022-09-11,22-173,WAS,,JAX,W 28-22,1,-10,-10.0,0,0,0.0,5,3,40,13.3,2,60.0,8.0,2,60.0,68,88.3,0,0.0,0,0.0,2,0,0,,0,0,,0,0,12,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DotsJa00
66,Ben Skowronek,88.1,0,0,6,0,0,Thu,1,1,2022-09-08,25-073,LAR,,BUF,L 10-31,0,0,,0,0,,6,4,25,6.3,0,66.7,4.2,2,66.7,59,88.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,SkowBe00
67,Mack Hollins,87.9,0,0,1,0,0,Sun,1,1,2022-09-11,28-360,LVR,@,LAC,L 19-24,0,0,,0,0,,1,1,16,16.0,0,100.0,16.0,1,100.0,51,87.9,0,0.0,6,25.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,HollMa00
68,Jakobi Meyers,87.7,0,1,6,0,0,Sun,1,1,2022-09-11,25-306,NWE,@,MIA,L 7-20,1,7,7.0,0,1,100.0,6,4,55,13.8,0,66.7,9.2,2,66.7,50,87.7,0,0.0,1,5.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,MeyeJa01
69,Kyler Murray,87.7,34,5,0,0,0,Sun,1,1,2022-09-11,25-035,ARI,,KAN,L 21-44,5,29,5.8,0,1,40.0,0,0,0,,0,,,0,,57,87.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,22,34,12,64.7,193,2,0,0,5.9,0.0,99.3,2,18,5.56,5.7,6.85,5.97,8.8,50.0,0,1,0,0,0,QB,MurrKy00
70,A.J. Brown,87.0,0,0,13,0,0,Sun,1,1,2022-09-11,25-073,PHI,@,DET,W 38-35,0,0,,0,0,,13,10,155,15.5,0,76.9,11.9,7,61.5,67,87.0,0,0.0,2,6.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,BrowAJ00
71,Dawson Knox,86.4,0,0,2,0,0,Thu,1,1,2022-09-08,25-298,BUF,@,LAR,W 31-10,0,0,,0,,,2,1,5,5.0,0,50.0,2.5,,50.0,51,86.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,KnoxDa00
72,Darren Waller,84.5,0,0,6,0,0,Sun,1,1,2022-09-11,29-363,LVR,@,LAC,L 19-24,0,0,,0,0,,6,4,79,19.8,0,66.7,13.2,4,66.7,49,84.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,WallDa01
73,Kyle Pitts,84.0,0,0,7,0,0,Sun,1,1,2022-09-11,21-340,ATL,,NOR,L 26-27,0,0,,0,0,,7,2,19,9.5,0,28.6,2.7,1,28.6,63,84.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,PittKy00
74,Mark Andrews,83.9,0,0,7,0,0,Sun,1,1,2022-09-11,27-005,BAL,@,NYJ,W 24-9,0,0,,0,0,,7,5,52,10.4,0,71.4,7.4,3,57.1,47,83.9,0,0.0,1,3.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,AndrMa00
75,Saquon Barkley,83.3,0,18,7,1,1,Sun,1,1,2022-09-11,25-214,NYG,@,TEN,W 21-20,18,164,9.1,1,7,61.1,7,6,30,5.0,0,85.7,4.3,0,57.1,50,83.3,0,0.0,0,0.0,1,0,0,,0,0,,1,0,8,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,RB,BarkSa00
76,Zay Jones,82.9,0,0,9,0,0,Sun,1,1,2022-09-11,27-165,JAX,@,WAS,L 22-28,0,0,,0,0,,9,6,65,10.8,0,66.7,7.2,4,55.6,58,82.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,JoneZa00
77,Cole Kmet,82.8,0,0,1,0,0,Sun,1,1,2022-09-11,23-185,CHI,,SFO,W 19-10,0,0,,0,,,1,0,0,,0,0.0,0.0,,0.0,48,82.8,0,0.0,4,16.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,KmetCo00
78,Hunter Renfrow,82.8,0,0,6,0,1,Sun,1,1,2022-09-11,26-264,LVR,@,LAC,L 19-24,0,0,,0,0,,6,3,21,7.0,0,50.0,3.5,2,50.0,48,82.8,0,0.0,4,16.7,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,0,0,0,WR,RenfHu00
79,Amari Cooper,82.5,0,0,6,0,0,Sun,1,1,2022-09-11,28-086,CLE,@,CAR,W 26-24,0,0,,0,,,6,3,17,5.7,0,50.0,2.8,,33.3,66,82.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CoopAm00
80,Donovan Peoples-Jones,82.5,0,0,11,0,0,Sun,1,1,2022-09-11,23-204,CLE,@,CAR,W 26-24,0,0,,0,0,,11,6,60,10.0,0,54.5,5.5,3,36.4,66,82.5,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,PeopDo00
81,Deebo Samuel,82.4,0,8,7,0,1,Sun,1,1,2022-09-11,26-239,SFO,@,CHI,L 10-19,8,52,6.5,1,3,50.0,7,2,14,7.0,0,28.6,2.0,0,28.6,56,82.4,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,SamuDe00
82,Darrell Henderson,82.1,0,13,5,0,0,Thu,1,1,2022-09-08,25-020,LAR,,BUF,L 10-31,13,47,3.6,0,2,46.2,5,5,26,5.2,0,100.0,5.2,1,40.0,55,82.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,HendDa00
83,D.K. Metcalf,81.8,0,0,7,0,1,Mon,1,1,2022-09-12,24-272,SEA,,DEN,W 17-16,0,0,,0,0,,7,7,36,5.1,0,100.0,5.1,1,71.4,45,81.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,MetcDK00
84,Marvin Jones,81.4,0,0,6,0,0,Sun,1,1,2022-09-11,32-183,JAX,@,WAS,L 22-28,0,0,,0,0,,6,4,38,9.5,0,66.7,6.3,3,66.7,57,81.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,JoneMa02
85,DJ Chark,81.2,0,0,8,0,0,Sun,1,1,2022-09-11,25-353,DET,,PHI,L 35-38,0,0,,0,0,,8,4,52,13.0,1,50.0,6.5,3,37.5,56,81.2,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CharDJ00
86,Christian McCaffrey,81.1,0,10,5,0,0,Sun,1,1,2022-09-11,26-096,CAR,,CLE,L 24-26,10,33,3.3,1,3,70.0,5,4,24,6.0,0,80.0,4.8,1,40.0,43,81.1,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,1,0,0,0,RB,McCaCh01
87,Diontae Johnson,81.0,0,0,12,0,1,Sun,1,1,2022-09-11,26-068,PIT,@,CIN,W 23-20 (OT),0,0,,0,0,,12,7,55,7.9,0,58.3,4.6,2,33.3,51,81.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,JohnDi01
88,Tyler Boyd,80.0,0,0,7,0,0,Sun,1,1,2022-09-11,27-300,CIN,,PIT,L 20-23 (OT),0,0,,0,0,,7,4,33,8.3,1,57.1,4.7,3,42.9,80,80.0,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,BoydTy00
89,Tyler Lockett,80.0,0,0,4,0,0,Mon,1,1,2022-09-12,29-349,SEA,,DEN,W 17-16,0,0,,0,0,,4,3,28,9.3,0,75.0,7.0,2,50.0,44,80.0,0,0.0,1,5.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,LockTy00
90,Josh Reynolds,79.7,0,0,3,0,0,Sun,1,1,2022-09-11,27-207,DET,,PHI,L 35-38,0,0,,0,0,,3,1,28,28.0,0,33.3,9.3,1,33.3,55,79.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ReynJo00
91,Dalvin Cook,77.4,0,20,5,0,0,Sun,1,1,2022-09-11,27-032,MIN,,GNB,W 23-7,20,90,4.5,0,5,55.0,5,3,18,6.0,0,60.0,3.6,1,40.0,48,77.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,CookDa01
92,Shi Smith,77.4,0,0,3,0,0,Sun,1,1,2022-09-11,23-320,CAR,,CLE,L 24-26,0,0,,0,0,,3,1,12,12.0,0,33.3,4.0,1,33.3,41,77.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,SmitSh03
93,Hunter Henry,77.2,0,0,3,0,0,Sun,1,1,2022-09-11,27-278,NWE,@,MIA,L 7-20,0,0,,0,0,,3,2,20,10.0,0,66.7,6.7,1,33.3,44,77.2,0,0.0,1,5.3,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,HenrHu00
94,Parris Campbell,77.2,0,0,4,0,0,Sun,1,1,2022-09-11,25-057,IND,@,HOU,T 20-20 (OT),0,0,,0,0,,4,3,37,12.3,0,75.0,9.3,3,75.0,71,77.2,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CampPa00
95,Dak Prescott,76.8,29,2,0,0,0,Sun,1,1,2022-09-11,29-044,DAL,,TAM,L 3-19,2,11,5.5,0,1,50.0,0,0,0,,0,,,0,,53,76.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,14,29,15,48.3,134,0,1,0,0.0,3.4,47.2,2,13,6.45,4.6,3.07,2.45,9.6,32.3,0,0,0,0,0,QB,PresDa01
96,Kenny Golladay,76.7,0,0,2,0,0,Sun,1,1,2022-09-11,28-312,NYG,@,TEN,W 21-20,0,0,,0,0,,2,2,22,11.0,0,100.0,11.0,1,100.0,46,76.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,GollKe00
97,Jonathan Taylor,76.1,0,31,7,0,0,Sun,1,1,2022-09-11,23-235,IND,@,HOU,T 20-20 (OT),31,161,5.2,1,9,64.5,7,4,14,3.5,0,57.1,2.0,0,0.0,70,76.1,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,TaylJo02
98,Equanimeous St. Brown,75.9,0,0,3,0,0,Sun,1,1,2022-09-11,25-346,CHI,,SFO,W 19-10,0,0,,0,0,,3,1,18,18.0,1,33.3,6.0,1,33.3,44,75.9,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,St.BEq00
99,Leonard Fournette,75.8,0,21,2,0,0,Sun,1,1,2022-09-11,27-236,TAM,@,DAL,W 19-3,21,127,6.0,0,6,57.1,2,2,10,5.0,0,100.0,5.0,0,50.0,47,75.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,FourLe00
100,Hayden Hurst,75.0,0,0,8,0,0,Sun,1,1,2022-09-11,29-018,CIN,,PIT,L 20-23 (OT),0,0,,0,0,,8,5,46,9.2,0,62.5,5.8,3,50.0,75,75.0,0,0.0,4,12.5,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,HursHa00
101,Josh Palmer,74.6,0,1,4,0,0,Sun,1,1,2022-09-11,22-354,LAC,,LVR,W 24-19,1,4,4.0,0,1,100.0,4,3,5,1.7,0,75.0,1.3,0,25.0,50,74.6,0,0.0,1,4.2,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,PalmJo00
102,A.J. Green,73.8,0,0,4,0,0,Sun,1,1,2022-09-11,34-042,ARI,,KAN,L 21-44,0,0,,0,0,,4,2,13,6.5,0,50.0,3.3,1,25.0,48,73.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,GreeA.00
103,Juwan Johnson,73.8,0,0,5,0,0,Sun,1,1,2022-09-11,25-363,NOR,@,ATL,W 27-26,0,0,,0,0,,5,2,43,21.5,0,40.0,8.6,1,40.0,45,73.8,0,0.0,16,50.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,JohnJu02
104,Chris Olave,73.8,0,0,3,1,0,Sun,1,1,2022-09-11,22-076,NOR,@,ATL,W 27-26,0,0,,0,0,,3,3,41,13.7,0,100.0,13.7,2,66.7,45,73.8,0,0.0,0,0.0,0,0,0,,0,0,,1,0,2,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,OlavCh00
105,Joe Mixon,73.0,0,27,9,0,0,Sun,1,1,2022-09-11,26-049,CIN,,PIT,L 20-23 (OT),27,82,3.0,0,2,25.9,9,7,63,9.0,0,77.8,7.0,3,66.7,73,73.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,MixoJo00
106,Marquez Valdes-Scantling,72.9,0,1,4,0,0,Sun,1,1,2022-09-11,27-336,KAN,@,ARI,W 44-21,1,-3,-3.0,0,0,0.0,4,4,44,11.0,0,100.0,11.0,3,100.0,51,72.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ValdMa00
107,Mike Evans,72.6,0,0,7,0,0,Sun,1,1,2022-09-11,29-021,TAM,@,DAL,W 19-3,0,0,,0,0,,7,5,71,14.2,1,71.4,10.1,5,71.4,45,72.6,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,EvanMi00
108,James Conner,72.3,0,10,6,0,1,Sun,1,1,2022-09-11,27-129,ARI,,KAN,L 21-44,10,26,2.6,1,3,50.0,6,5,29,5.8,0,83.3,4.8,3,66.7,47,72.3,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,0,0,0,RB,ConnJa00
109,Jarvis Landry,72.1,0,0,9,0,0,Sun,1,1,2022-09-11,29-287,NOR,@,ATL,W 27-26,0,0,,0,0,,9,7,114,16.3,0,77.8,12.7,4,77.8,44,72.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,LandJa00
110,Drake London,72.0,0,0,7,0,0,Sun,1,1,2022-09-11,21-049,ATL,,NOR,L 26-27,0,0,,0,0,,7,5,74,14.8,0,71.4,10.6,3,71.4,54,72.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,LondDr00
111,Sterling Shepard,71.7,0,0,4,0,0,Sun,1,1,2022-09-11,29-213,NYG,@,TEN,W 21-20,0,0,,0,0,,4,2,71,35.5,1,50.0,17.8,1,25.0,43,71.7,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ShepSt00
112,Rex Burkhead,71.4,0,14,8,0,0,Sun,1,1,2022-09-11,32-071,HOU,,IND,T 20-20 (OT),14,40,2.9,0,1,50.0,8,5,30,6.0,0,62.5,3.8,1,50.0,50,71.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,RB,BurkRe00
113,Evan Engram,71.4,0,0,4,0,0,Sun,1,1,2022-09-11,28-009,JAX,@,WAS,L 22-28,0,0,,0,0,,4,4,28,7.0,0,100.0,7.0,1,50.0,50,71.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,EngrEv00
114,George Pickens,71.4,0,0,3,0,0,Sun,1,1,2022-09-11,21-191,PIT,@,CIN,W 23-20 (OT),0,0,,0,,,3,1,3,3.0,0,33.3,1.0,,0.0,45,71.4,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,PickGe00
115,Curtis Samuel,71.4,0,4,11,0,1,Sun,1,1,2022-09-11,26-031,WAS,,JAX,W 28-22,4,17,4.3,0,1,25.0,11,8,55,6.9,1,72.7,5.0,5,45.5,55,71.4,0,0.0,0,0.0,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,SamuCu00
116,Robert Woods,70.8,0,0,2,0,0,Sun,1,1,2022-09-11,30-154,TEN,,NYG,L 20-21,0,0,,0,0,,2,1,13,13.0,0,50.0,6.5,1,50.0,46,70.8,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WoodRo02
117,Richie James,70.0,0,1,6,0,0,Sun,1,1,2022-09-11,27-006,NYG,@,TEN,W 21-20,1,2,2.0,0,0,0.0,6,5,59,11.8,0,83.3,9.8,3,50.0,42,70.0,0,0.0,6,21.4,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,JameRi00
118,Geoff Swaim,69.2,0,0,4,0,0,Sun,1,1,2022-09-11,28-360,TEN,,NYG,L 20-21,0,0,,0,0,,4,3,19,6.3,0,75.0,4.8,1,50.0,45,69.2,0,0.0,13,46.4,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,SwaiGe00
119,Rashaad Penny,69.1,0,12,3,0,1,Mon,1,1,2022-09-12,26-222,SEA,,DEN,W 17-16,12,60,5.0,0,2,41.7,3,2,7,3.5,0,66.7,2.3,1,66.7,38,69.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,RB,PennRa00
120,Mike Thomas,69.0,0,0,5,1,0,Sun,1,1,2022-09-11,28-026,CIN,,PIT,L 20-23 (OT),0,0,,0,,,5,1,5,5.0,0,20.0,1.0,,0.0,69,69.0,0,0.0,6,18.8,0,0,0,,0,0,,1,0,2,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,ThomMi04
121,Jonnu Smith,68.4,0,0,4,0,0,Sun,1,1,2022-09-11,27-020,NWE,@,MIA,L 7-20,0,0,,0,0,,4,3,33,11.0,0,75.0,8.3,2,75.0,39,68.4,0,0.0,4,21.1,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,SmitJo01
122,Corey Davis,67.9,0,0,10,0,0,Sun,1,1,2022-09-11,27-243,NYJ,,BAL,L 9-24,0,0,,0,0,,10,6,77,12.8,0,60.0,7.7,5,60.0,57,67.9,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,DaviCo03
123,Cameron Brate,67.7,0,0,3,0,0,Sun,1,1,2022-09-11,31-070,TAM,@,DAL,W 19-3,0,0,,0,0,,3,1,7,7.0,0,33.3,2.3,1,33.3,42,67.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,BratCa00
124,K.J. Osborn,67.7,0,0,4,0,0,Sun,1,1,2022-09-11,25-093,MIN,,GNB,W 23-7,0,0,,0,,,4,3,14,4.7,0,75.0,3.5,,25.0,42,67.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,OsboKJ00
125,Derrick Henry,67.7,0,21,1,0,1,Sun,1,1,2022-09-11,28-250,TEN,,NYG,L 20-21,21,82,3.9,0,1,47.6,1,0,0,,0,0.0,0.0,0,0.0,44,67.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,1,0,0,0,RB,HenrDe00
126,Nick Westbrook-Ikhine,67.7,0,0,2,0,0,Sun,1,1,2022-09-11,25-174,TEN,,NYG,L 20-21,0,0,,0,0,,2,1,13,13.0,0,50.0,6.5,1,50.0,44,67.7,0,0.0,1,3.6,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WestNi00
127,Will Dissly,67.3,0,0,3,0,0,Mon,1,1,2022-09-12,26-066,SEA,,DEN,W 17-16,0,0,,0,0,,3,3,43,14.3,1,100.0,14.3,1,33.3,37,67.3,0,0.0,7,36.8,1,0,0,,0,0,,0,0,6,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,TE,DissWi00
128,Sammy Watkins,67.2,0,0,3,0,0,Sun,1,1,2022-09-11,29-089,GNB,@,MIN,L 7-23,0,0,,0,0,,3,3,18,6.0,0,100.0,6.0,2,100.0,41,67.2,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,WatkSa00
129,Nico Collins,67.1,0,0,3,0,0,Sun,1,1,2022-09-11,23-176,HOU,,IND,T 20-20 (OT),0,0,,0,0,,3,2,26,13.0,0,66.7,8.7,1,33.3,47,67.1,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,WR,CollNi00
130,Tyreek Hill,66.7,0,1,12,0,1,Sun,1,1,2022-09-11,28-194,MIA,,NWE,W 20-7,1,6,6.0,0,0,100.0,12,8,94,11.8,0,66.7,7.8,5,58.3,40,66.7,0,0.0,0,0.0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,0,0,0,0,WR,HillTy00
